0,4,2,3,1,50
0,2,4,3,1,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,2,4,3,1,50
1,3,2,4,0,50
4,3,0,2,1,50
4,3,0,1,2,50
3,4,0,1,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,1,2,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,1,2,3,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,2,1,3,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,2,1,3,50
1,3,2,4,0,50
0,2,4,1,3,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,2,4,1,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
4,3,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
4,3,2,1,0,50
1,3,2,4,0,50
1,0,2,4,3,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,0,2,4,1,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,0,1,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,2,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,0,1,4,2,50
1,3,2,4,0,50
1,0,4,3,2,50
1,0,2,4,3,50
3,4,0,1,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,2,0,4,3,50
3,2,0,4,1,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,1,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,1,3,2,50
1,4,0,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,4,0,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,3,1,4,2,50
1,3,0,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,0,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
4,2,0,3,1,50
1,3,0,4,2,50
1,3,0,4,2,50
0,4,1,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,4,0,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,4,0,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,4,0,1,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,3,1,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,0,4,2,50
3,4,0,2,1,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,0,1,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,0,1,4,2,50
1,3,2,4,0,50
0,3,1,4,2,50
0,4,1,3,2,50
0,4,1,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,1,3,2,50
1,3,2,4,0,50
1,3,2,4,0,50
0,3,1,4,2,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
3,2,0,4,1,50
4,2,0,1,3,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,2,4,3,1,50
0,4,2,3,1,50
3,2,4,1,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,3,2,4,1,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
1,3,2,4,0,50
0,4,2,3,1,50
3,4,0,1,2,50
1,3,2,4,0,50
1,3,2,4,0,50
0,3,4,1,2,50
1,3,2,4,0,50
1,3,2,4,0,50
2,3,1,4,0,130
3,4,1,0,2,130
4,1,0,3,2,130
3,4,1,0,2,130
4,2,3,1,0,130
4,3,1,0,2,130
4,3,1,0,2,130
3,4,1,0,2,130
1,0,3,4,2,130
2,4,1,3,0,130
0,4,3,1,2,130
3,4,1,0,2,130
1,2,0,3,4,130
1,2,3,4,0,130
3,1,0,4,2,130
3,4,2,0,1,130
1,3,0,2,4,130
1,4,2,0,3,130
4,3,1,0,2,130
4,1,0,3,2,130
3,2,4,0,1,130
4,1,0,3,2,130
4,2,1,0,3,130
3,2,4,0,1,130
3,1,0,4,2,130
4,2,3,1,0,130
3,1,0,4,2,130
3,4,1,0,2,130
1,3,0,2,4,130
4,2,3,1,0,130
3,1,0,4,2,130
3,1,0,4,2,130
0,1,4,3,2,130
4,0,3,2,1,130
0,1,4,3,2,130
0,2,1,3,4,130
3,4,1,0,2,130
2,4,0,1,3,130
1,2,3,4,0,130
4,2,3,1,0,130
4,2,1,0,3,130
1,3,0,2,4,130
1,2,3,4,0,130
3,1,4,2,0,130
3,4,1,0,2,130
1,2,3,4,0,130
3,1,2,4,0,130
0,2,3,4,1,130
0,1,4,3,2,130
4,2,1,0,3,130
4,2,1,0,3,130
0,1,4,3,2,130
2,4,0,3,1,130
3,1,4,2,0,130
3,4,2,0,1,130
3,2,4,0,1,130
3,4,1,0,2,130
0,4,3,1,2,130
1,3,0,2,4,130
4,1,2,3,0,130
3,4,1,0,2,130
4,1,2,3,0,130
1,2,3,4,0,130
3,4,2,0,1,130
4,2,3,1,0,130
0,4,3,1,2,130
0,2,3,4,1,130
0,4,3,1,2,130
0,4,3,1,2,130
3,4,1,0,2,130
0,2,3,4,1,130
2,3,1,4,0,130
1,0,2,3,4,130
1,3,0,2,4,130
4,3,2,0,1,130
4,3,1,0,2,130
2,0,4,1,3,130
2,0,4,1,3,130
3,4,2,0,1,130
0,2,3,4,1,130
0,2,3,4,1,130
1,3,0,2,4,130
4,3,2,0,1,130
1,0,3,4,2,130
2,0,4,3,1,130
4,2,1,0,3,130
0,4,3,1,2,130
4,0,3,1,2,130
0,1,2,4,3,130
4,0,3,1,2,130
3,4,1,0,2,130
0,3,1,2,4,130
0,1,2,4,3,130
4,0,3,1,2,130
1,3,0,2,4,130
3,4,1,0,2,130
2,0,1,4,3,130
1,3,0,2,4,130
2,0,4,3,1,130
1,3,0,2,4,130
0,4,3,1,2,130
0,1,4,3,2,130
3,4,1,0,2,130
1,3,0,2,4,130
3,4,2,0,1,130
4,2,3,1,0,130
0,4,3,1,2,130
0,4,3,1,2,130
1,0,3,4,2,130
3,1,0,4,2,130
4,0,3,2,1,130
4,3,1,0,2,130
1,0,3,4,2,130
4,2,1,0,3,130
1,2,3,4,0,130
3,4,1,0,2,130
3,4,1,0,2,130
0,1,4,3,2,130
4,0,3,1,2,130
1,0,2,3,4,130
4,2,3,0,1,210
0,1,2,3,4,210
3,1,4,0,2,210
4,1,2,0,3,210
3,1,4,0,2,210
2,1,0,4,3,210
2,1,0,4,3,210
1,4,3,0,2,210
4,1,3,2,0,210
0,1,2,3,4,210
4,1,2,0,3,210
3,2,1,0,4,210
0,1,3,4,2,210
2,1,4,3,0,210
2,3,4,0,1,210
0,1,3,4,2,210
4,1,2,0,3,210
2,4,1,0,3,210
3,2,1,0,4,210
4,2,3,0,1,210
3,2,1,0,4,210
0,1,2,3,4,210
2,1,0,4,3,210
0,1,2,3,4,210
0,1,3,4,2,210
3,2,1,0,4,210
1,3,2,0,4,210
3,2,1,0,4,210
4,2,3,0,1,210
4,2,3,0,1,210
1,0,3,2,4,210
4,2,3,0,1,210
0,2,3,1,4,210
1,3,2,0,4,210
0,1,3,4,2,210
1,3,2,0,4,210
2,4,1,0,3,210
2,3,4,0,1,210
3,2,1,0,4,210
2,0,1,3,4,210
3,2,1,0,4,210
3,2,1,0,4,210
2,4,3,1,0,210
2,4,3,1,0,210
0,1,3,4,2,210
1,4,3,0,2,210
1,0,3,2,4,210
2,1,4,3,0,210
1,4,3,0,2,210
3,1,4,0,2,210
2,1,0,4,3,210
1,3,2,0,4,210
3,1,0,2,4,210
4,1,2,0,3,210
0,1,2,3,4,210
2,1,0,4,3,210
2,1,0,4,3,210
1,3,2,0,4,210
1,0,3,2,4,210
4,1,2,0,3,210
0,1,3,4,2,210
2,4,1,0,3,210
2,0,1,3,4,210
4,2,3,0,1,210
4,2,3,0,1,210
1,3,2,0,4,210
4,2,3,0,1,210
2,0,3,4,1,210
4,1,3,2,0,210
2,3,0,1,4,210
0,1,2,3,4,210
4,2,3,0,1,210
2,4,1,0,3,210
2,1,0,4,3,210
4,1,3,2,0,210
4,2,3,0,1,210
3,1,4,0,2,210
4,1,3,2,0,210
3,2,1,0,4,210
1,3,2,0,4,210
3,2,1,0,4,210
3,1,0,2,4,210
2,4,3,1,0,210
0,1,3,4,2,210
1,0,3,2,4,210
3,2,1,0,4,210
1,0,3,2,4,210
2,4,3,1,0,210
2,1,0,4,3,210
0,1,3,4,2,210
1,3,2,0,4,210
2,0,3,1,4,290
2,0,3,1,4,290
2,1,3,4,0,290
2,1,4,0,3,290
2,0,3,1,4,290
2,1,3,4,0,290
2,1,3,4,0,290
2,1,3,4,0,290
3,1,2,0,4,290
2,4,3,0,1,290
2,1,3,4,0,290
2,3,1,0,4,290
0,1,3,2,4,290
2,1,3,4,0,290
2,4,3,0,1,290
2,1,0,3,4,290
2,0,3,1,4,290
2,0,3,1,4,290
2,4,3,0,1,290
4,1,3,0,2,290
4,1,3,0,2,290
2,1,3,4,0,290
2,1,3,4,0,290
2,0,3,1,4,290
2,1,4,0,3,290
2,1,0,3,4,290
0,1,3,2,4,290
0,1,3,2,4,290
0,1,3,2,4,290
2,1,3,4,0,290
3,1,2,0,4,290
3,1,2,0,4,290
3,1,2,0,4,290
2,0,3,1,4,290
3,1,2,0,4,290
2,1,3,4,0,290
2,0,3,1,4,290
2,0,3,1,4,290
2,1,4,0,3,290
2,0,3,1,4,290
2,0,3,1,4,290
2,1,0,3,4,290
1,2,3,0,4,290
3,1,2,0,4,290
2,4,3,0,1,290
2,1,0,3,4,290
3,1,2,0,4,290
0,1,3,2,4,290
2,0,3,1,4,290
2,0,3,1,4,290
2,4,3,0,1,290
0,1,3,2,4,290
0,1,3,2,4,290
2,1,0,3,4,290
3,1,2,0,4,290
